2026-04-15 13:12:08.111 [info] [Auth] AntigravityAuthMainService initialized
2026-04-15 14:07:06.682 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 15:02:05.744 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 15:02:06.457 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 15:57:05.761 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 15:57:06.295 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 16:52:05.757 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 16:52:06.620 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 17:47:05.759 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 17:47:06.599 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 18:42:05.799 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 18:42:06.537 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 19:37:05.792 [info] OAuth token changed, executing antigravity.handleAuthRefresh
2026-04-15 19:37:06.536 [info] OAuth token changed, executing antigravity.handleAuthRefresh
